EID,Name
67157624,Kepa Arrizabalaga
12087972,Nicolas Jackson
72044918,Tyler Adams
37040604,Hakim Ziyech
67296654,Alejandro Balde
67135344,Lucas Vázquez
19383257,Yan Couto
19159362,Fred
67191910,Éric Bailly
59138294,Giorgi Mamardashvili
37052470,Noussair Mazraoui
67217522,Pau Torres
14186894,Juan Foyth
29137172,Aaron Ramsdale
19340940,Pepê
85071175,Wissam Ben Yedder
14008030,Nicolás Tagliafico
29141472,Benjamin White
19030933,Neto
96054420,Krzysztof Piątek
43075156,Giovanni Di Lorenzo
18101745,Loïs Openda
55070285,João Palhinha
29111433,David Raya
12029963,Yassine Bounou
28005568,Jordan Henderson
93070286,Alexander Isak
85052016,Jordan Veretout
29128536,Ben Chilwell
19260918,David Neres
53174131,Victor Boniface
14023371,Germán Pezzella
67104772,Íñigo Martínez
14094572,Rodrigo Bentancur
28068727,Ruben Loftus-Cheek
1410956,Leonardo Bonucci
83188780,Matheus Nunes
91107360,Niklas Süle
19242094,Gabriel
43093395,Alessio Romagnoli
92018043,Niclas Füllkrug
85075605,Benjamin Mendy
28106999,Brahim Díaz
18045347,Divock Origi
76015142,Luis Muriel
24060473,Joško Gvardiol
62000307,Nemanja Matić
78040720,Matías Vecino
20040254,Christian Bassogog
55070307,Rúben Neves
55083779,Diogo Jota
28097980,Fikayo Tomori
14229525,Enzo Fernández
67107819,Denis Suárez
28097985,Tammy Abraham
19270493,Bremer
67033300,César Azpilicueta
48037391,Matteo Guendouzi
14157184,Alexis Mac Allister
67103536,Juan Bernat
85141999,Presnel Kimpembe
93023425,Victor Lindelöf
43167354,Manuel Locatelli
98040383,Gregor Kobel
85078880,Clément Lenglet
18054004,Leandro Trossard
16045721,Marcel Sabitzer
72046884,Matt Turner
859612,Georginio Wijnaldum
75001932,Charles Aránguiz
29116247,Ivan Toney
43017499,Francesco Acerbi
85075595,Kurt Zouma
48032338,Ismaël Bennacer
28120042,Cole Palmer
92012109,Bernd Leno
67153376,Álex Grimaldo
18077264,Youri Tielemans
28108490,Jadon Sancho
67080310,Marcos Alonso
14005628,Erik Lamela
29076100,James Ward-Prowse
67173048,Borja Iglesias
67156425,Raúl De Tomás
92074020,Christian Pulisic
28116427,Eric García
14042683,Joaquín Correa
67287665,Álex Baena
76010707,Juan Cuadrado
85032335,Idrissa Gueye
92029805,Sead Kolašinac
37063649,Sven Botman
11023165,Amir Rrahmani
85023676,Thorgan Hazard
75000273,Arturo Vidal
19257876,Vitor Bueno
85045409,Raphaël Guerreiro
19249631,Lucas Veríssimo
83152910,Galeno
34012022,Francis Coquelin
14063109,Jeremías Ledesma
14030119,Gerónimo Rulli
45104608,Takefusa Kubo
53063430,Alexander Sørloth
19069586,João Pedro Galvão
35015916,Eric Maxim Choupo-Moting
62070416,Filip Kostić
19184436,Joelinton
27132703,Morten Hjulmand
37005632,Daley Blind
48036643,Mouctar Diakhaby
67085965,Suso
43195181,Umar Sadiq
67295650,Yeremy Pino
51042313,Hirving Lozano
7456721,Jesús Navas
168235,Quincy Promes
96026541,Arkadiusz Milik
71101331,Mykhaylo Mudryk
45109174,Hidemasa Morita
28066082,Héctor Bellerín
37001814,Stefan de Vrij
67063007,Sergi Roberto
18106083,Jérémy Doku
86047272,Yangel Herrera
1510305,Pedro
14181375,Nicolás González
67196188,Mario Hermoso
71048716,Ruslan Malinovskyi
55041694,André Silva
37003555,Marko Arnautović
37055844,Donyell Malen
19342183,Evanilson
83190945,Ali Al Musrati
43091113,Bryan Cristante
93038219,Samuel Gustafson
24000971,Dejan Lovren
71099053,Andriy Lunin
37001813,Marten de Roon
43094553,Domenico Berardi
85057304,Youssouf Sabaly
28109599,Emile Smith Rowe
45092714,Daichi Kamada
28108036,Conor Gallagher
15016604,Mathew Ryan
43155241,Guglielmo Vicario
67150301,Alberto Moreno
98029385,Breel Embolo
8826848,Diego Godín
8835638,José Pedro Fuenzalida
67269484,Samuel Chukwueze
37024733,Joël Veltman
37024265,Steven Berghuis
85059774,Samuel Umtiti
16147660,Xaver Schlager
29125343,Scott McTominay
19338230,Antony
8448716,Étienne Capoue
19259027,Renan Lodi
51000001,Carlos Vela
11022221,Vedat Muriqi
19229435,Malcom
8438112,Miralem Pjanić
43043933,Lorenzo Insigne
98006034,Remo Freuler
70087488,Enes Ünal
62013805,Nemanja Gudelj
28054565,Jordan Pickford
43044387,Roberto Soriano
12063540,Mortadha Ben Ouannes
98003827,Xherdan Shaqiri
7456688,Santi Cazorla
947424,Simon Kjær
27039017,Christian Nørgaard
43094100,Lorenzo Pellegrini
29123128,Dominic Calvert-Lewin
86078360,Moisés Caicedo
956661,Lucas Biglia
19266403,Arthur Cabral
27013113,Martin Braithwaite
964419,Nahuel Guzmán
48044574,Moussa Diaby
19186901,Otávio
93038245,Modou Barrow
12028932,Vincent Aboubakar
55013032,Danilo Pereira
18110528,Charles De Ketelaere
75000261,Alexis Sánchez
85033423,Lucas Digne
29114989,Jonathan Bamba
78067241,Nahitan Nández
85051578,Sébastien Haller
16279486,Karim Adeyemi
19189145,Talisca
55002038,Diego Costa
83261910,Nuno Mendes
48042658,Bryan Mbeumo
43316850,Giacomo Raspadori
49040115,Illan Meslier
71108249,Heorhii Sudakov
2000098727,Rico Lewis
62004109,Ibrahim Sehic
5727652,Ivan Rakitić
86045976,Pervis Estupiñán
55000929,Rui Patrício
85027976,Alphonse Areola
92051583,Timo Werner
13156726,Trezeguet
51055610,César Montes
37060600,Ferdi Kadıoğlu
78090138,Darwin Núñez
19126109,Davidson
85128159,Tanguy Ndombele
18097159,Alexis Saelemaekers
51000042,Héctor Moreno
30022142,Chris Smalling
14110846,Exequiel Palacios
2114068,David Luiz
49047065,Mohamed Simakan
83209468,Gonçalo Ramos
5125012,Adam Lallana
67268221,Pedro Porro
18083611,Dodi Lukébakio
28100123,Aaron Wan-Bissaka
48037822,Ibrahima Konaté
7990060,Matteo Darmian
83176849,Merih Demiral
12065054,Mohamed Elneny
83174762,Vitinha
5106363,James Milner
67035000,Yuri
34011354,Steven Nzonzi
58104594,Alexandr Golovin
67037570,Iker Muniain
29036189,Lewis Dunk
8832853,Marcelo
8150316,Jan Vertonghen
43094150,Ivan Provedel
37008621,Luuk de Jong
51054011,Edson Álvarez
85119867,Tiémoué Bakayoko
718272,Łukasz Fabiański
55061470,Nélson Semedo
61043070,John McGinn
28085588,Andreas Pereira
11024791,Milot Rashica
5667723,Andrés Guardado
85079680,Aïssa Mandi
19249501,Rodrigo Becão
67199408,Álvaro Odriozola
62097340,Nemanja Maksimović
27102380,Kasper Dolberg
66010107,Yang Han Been
19334410,Matheus Cunha
14241914,Alan Varela
55067163,Rui Silva
211232,Djéné Dakonam
19247744,Léo Duarte
53049626,Jonas Svensson
8169425,Dries Mertens
27091941,Paul Onuachu
29156522,Ebere Eze
29221846,Michael Olise
5251774,Claudio Bravo
28113828,Jeremie Frimpong
67063004,Marc Bartra
2000054872,Ez Abde
75000560,Gary Medel
71080414,Viktor Tsygankov
19377206,Luiz Henrique
55063493,Rafa
19302456,Douglas Luiz
13181623,Pathé Ciss
24039943,Ivo Grbić
29159400,Ben Brereton Díaz
55032265,Eric Dier
62076152,Predrag Rajković
27088231,Mathias Jensen
78063165,Sergio Rochet
43426047,Destiny Udogie
19325045,Emerson Royal
55063355,Domingos Duarte
55070264,Nuno Santos
28106878,Marcus Edwards
29125842,Jarrod Bowen
29129073,Rico Henry
12038706,Ramy Bensebaïni
67211900,Sergio Reguilón
98034373,Djibril Sow
13174979,Yves Bissouma
19052922,Rafael Toloi
48043868,Batista Mendy
43093476,Federico Bernardeschi
19158787,Matheus
55079798,Stephen Eustáquio
43155796,Matteo Pessina
12080051,Pape Matar Sarr
51013463,Raúl Jiménez
70099785,Kerem Aktürkoğlu
76015950,Santiago Arias
24012760,Marko Livaja
45111891,Kaoru Mitoma
19122788,Elber
19067093,Alex Sandro
29179717,Pedro Neto
29192705,Pedro Gonçalves
75000479,Marcelo Díaz
37063644,Jurriën Timber
67174729,Adama Traoré
19259600,Arthur
43093382,Matteo Politano
93034815,Daniel Amartey
78064881,Mauro Arambarri
83174775,João Mário
67103336,Saúl
96088503,Sebastian Szymański
2000065731,Seiya Maikuma
2000160511,Ousmane Diomande
14108651,Giovani Lo Celso
1401054,Lorenzo De Silvestri
27058392,Pierre-Emile Højbjerg
37018393,Davy Klaassen
29110623,Ollie Watkins
15004041,Mitchell James Langerak
67011217,Diego Llorente
70099201,Altay Bayındır
19171604,Matheus Reis
78027200,Leandro Cabrera
37049949,Jerry St. Juste
70093800,Çağlar Söyüncü
78094563,Matías Arezo
19162578,Felipe
67214595,Unai Núñez
67245413,Óscar Mingueza
45021707,Yuya Osako
51012751,Jesús Corona
76020280,Johan Mojica
30035411,Hamari Traoré
79027217,Omar Alderete
72048035,Weston McKennie
61036844,Callum McGregor
37005776,Bas Dost
49045184,Pierre Kalulu
8507078,Teemu Pukki
67039257,Asier Illarramendi
85033422,Geoffrey Kondogbia
75000523,Mauricio Isla
45095490,Takehiro Tomiyasu
43500350,Wilfried Gnonto
78066692,Alfonso Espino
43093502,Gianluca Mancini
37041773,Robin Gosens
79024232,Miguel Almirón
28124569,Tino Livramento
76023654,Mateus Uribe
23128049,Morteza Pouraliganji
12031625,Islam Slimani
29108071,Rob Holding
76038475,Jefferson Lerma
77018477,Edison Flores
28113827,Felix Nmecha
28106687,Eddie Nketiah
43041177,Alessandro Florenzi
28100207,Harvey Barnes
5005078,Jonny Evans
85121618,Flavien Tait
61089387,Aaron Hickey
14110829,Lucas Boyé
824041,Andrés Iniesta
78088553,Brian Ocampo
37026994,Wout Weghorst
34012402,Grzegorz Krychowiak
28103591,Trevoh Chalobah
28126241,Oscar Bobb
8835677,David Ospina
14061320,Maximiliano Meza
29000737,Aaron Ramsey
29074544,Tyrone Mings
19320258,Samuel Lino
71101334,Anatolii Trubin
49037900,Wesley Fofana
29115800,Joe Gomez
43125343,Mattia Zaccagni
19016523,Luiz Gustavo
67201783,Emiliano Buendía
83174759,Fábio Vieira
28010491,Danny Welbeck
8825061,Fernandinho
19226741,Lucas Paquetá
27002693,Thomas Delaney
5114022,Kasper Schmeichel
55070298,Renato Sanches
28107919,Reiss Nelson
98007212,Fabian Schär
76014012,Duván Zapata
33020908,Jesse Joronen
28115788,Curtis Jones
24003525,Domagoj Vida
24003746,Ante Budimir
57151131,Olimpiu Moruţan
43272557,Davide Frattesi
28058224,Ross Barkley
29055569,James Tarkowski
24004434,Andrej Kramarić
83105845,Diogo Dalot
76003938,Carlos Bacca
47022611,Stole Dimitrievski
37065767,Sergiño Dest
14167329,Lisandro Martínez
43109319,Stefano Sensi
45105555,Kyogo Furuhashi
29175064,Ethan Ampadu
49047182,Manu Koné
78084541,Manuel Ugarte
53110135,Kristoffer Ajer
67196204,Carlos Soler
85027988,Abdoulaye Doucouré
37027437,Sander van de Streek
43274977,Moise Kean
19337893,Roger Ibañez
93011051,Emil Forsberg
55069796,Ricardo Horta
27069975,Joachim Andersen
5666492,Guillermo Ochoa
958132,Gustavo Cabral
85046587,Florian Thauvin
67183918,Álex Remiro
37048153,Donny van de Beek
48043084,Boubacar Kamara
48031455,Houssem Aouar
47064795,Eljif Elmas
19046039,Fernando
25041687,Tomáš Souček
744539,João Moutinho
67038643,Jonathan dos Santos
29030379,Danny Ings
91119700,Jonathan Tah
19127830,Gabriel Paulista
28112986,Callum Hudson-Odoi
55027975,Ivan Cavaleiro
2000011972,Sávio
19188567,Diego Carlos
42077304,Manor Solomon
16199713,Igor
35018013,Kevin Trapp
5664830,Héctor Herrera
35017438,Mario Götze
67215284,Marc Cucurella
72045910,Jack Harrison
19105713,Felipe Anderson
91005023,Kevin Kampl
36096824,Kostas Tsimikas
98034601,Denis Zakaria
91124144,Julian Weigl
45111728,Shunta Tanaka
45064891,Takumi Minamino
67178152,Pau López
90008752,Jamie Vardy
34008669,Younes Belhanda
6701096,Pepe Reina
4002177,Ben Mee
78020163,Abel Hernández
25042141,Patrik Schick
67260440,Bryan Gil
55027761,Mário Rui
18083491,Leon Bailey
85111795,Serhou Guirassy
14077011,Nicolás Domínguez
2000035036,Alejandro Garnacho
955978,Alejandro Gómez
55022391,João Mário
19073564,Lucas Moura
67153373,Álex Moreno
92030193,Julian Draxler
43140326,Alex Meret
85057643,Serge Aurier
55061113,João Novais
37071197,Ryan Gravenberch
13196616,Edmond Tapsoba
29114971,Corentin Tolisso
67260506,Kang-In Lee
8832889,Willian
76037089,Alfredo Morelos
63001138,Juraj Kucka
83320135,António Silva
62191195,Nikola Milenković
53143395,Jørgen Strand Larsen
28016969,Nam Taehee
45088490,Jun Amano
13112706,Bertrand Traoré
67080313,Samu Sáiz
43066936,Andrea Belotti
18053710,Michy Batshuayi
67009261,Ander Herrera
27143432,Jesper Lindstrøm
62113639,Luka Jović
19152856,Marcos Junior
45111756,Kazuya Konno
48036880,Odsonne Edouard
18086521,Mamadou Fall
43207792,Jakub Jankto
62027632,Edin Višća
78001113,Fernando Muslera
43491384,Federico Gatti
2115577,Fernando
29141175,Luca De La Torre
13158416,Joseph Aidoo
67276127,Nico González
91143519,Vitaly Janelt
76046285,Luis Suárez
57146735,Alexandru Cicâldău
91001078,Cenk Tosun
43081390,Roberto Gagliardini
28111507,Tyrick Mitchell
49056273,Castello Lukeba
28049754,Ben Davies
27160181,Rasmus Højlund
14031138,Giovanni Simeone
93055760,Carl Starfelt
24058106,Josip Šutalo
85085148,Léo Dubois
67192921,Jesús Vallejo
62039552,Darko Brašanac
24021244,Mario Pašalić
28116386,Anthony Gordon
45109907,Daiki Miya
91108809,Hany Mukhtar
78076343,Mathías Olivera
37046941,Hans Hateboer
67260204,Oihan Sancet
19270774,Diego Pituca
67276071,Miguel Gutiérrez
19171003,Matheus
53075287,Badou Ndiaye
67256618,Dani Vivian
29141827,Ezri Konsa
67053461,Iván Balliu
66014588,Hwang Hee-Chan
78000806,Cristhian Stuani
29147447,Matty Cash
16010163,Aleksandar Dragović
14110832,Lucas Martínez Quarta
19350649,Carlos Augusto
7458290,Antonio Adán
62085429,Marko Grujić
43123020,Davide Calabria
45114481,Daihachi Okamura
43067334,Valerio Verre
78074600,Marcelo Saracchi
29126231,Kyle Walker-Peters
21026981,Amir Hadžiahmetović
965309,Agustín Marchesín
76037151,Yerry Mina
19190441,Anderson Lopes
37076335,Jan Paul van Hecke
14136122,Gonzalo Montiel
62038612,Marko Dmitrović
28129089,Yunus Musah
43091160,Andrea Petagna
42058467,Neta Lavi
13199286,Nayef Aguerd
92016695,Nicola Sansone
92017376,Pascal Groß
28095342,Angeliño
67228635,Óscar
8169242,Toby Alderweireld
34010721,Jordan Ayew
29121437,Philip Billing
61078265,Billy Gilmour
742448,José Fonte
18115012,Roméo Lavia
70096289,Cengiz Ünder
29125191,Dominic Solanke
28084930,Alex Iwobi
67184200,Joaquín
27025428,Alexander Scholz
98033057,Nico Elvedi
78078886,Maximiliano Gómez
85137101,Amine Harit
79002787,Darío Lezcano
45104263,Hiromu Mitsumaru
72051281,Giovanni Reyna
93065023,Mattias Svanberg
43143925,Martin Valjent
67174735,Munir
14003946,Pablo Hernández
18057380,Leander Dendoncker
11024744,Myrto Uzuni
78001192,Damián Suárez
86017618,Darwin Machís
66040782,Song Bumkeun
76003032,Dorlan Pabón
1502117,Raúl García
19239603,Capixaba
91167376,Florian Neuhaus
36137588,Tasos Douvikas
2000245818,Motoki Nagakura
950975,Radamel Falcao
19270227,Matheus Thuler
43372948,Nicolò Fagioli
14023274,Guido Carrillo
19189109,Vinícius Araújo
45106295,Yuto Iwasaki
67120637,Jonathan Viera
45077369,Yuto Horigome
24053458,Lovro Majer
28036815,Michail Antonio
91011532,Willi Orbán
28094948,Ryan Kent
91107789,Matthias Ginter
57113505,Răzvan Marin
29193659,Jacob Ramsey
24048099,Borna Sosa
85132406,Allan Saint-Maximin
19212524,Gustavo Sauer
2111393,Alexandre Pato
55012984,Cédric
85140175,Yoane Wissa
43083931,Daniele Rugani
79034187,Julio Enciso
91206164,Malick Thiaw
72044151,Cyle Larin
43036636,Stephan El Shaarawy
24039948,Nikola Vlašić
18022052,Cheikhou Kouyaté
77029444,Renato Tapia
27051813,Yussuf Poulsen
37039938,Rick Karsdorp
98033113,Jonas Omlin
92027981,Jonas Hofmann
48036788,Saïd Benrahma
2105510,Hulk
67276482,Ander Barrenetxea
45081542,Yosuke Ideguchi
19055478,Adailton
14004049,Guido Pizarro
19273277,Dodo
37041762,Riechedly Bazoer
5662985,Alfredo Talavera
91147345,Robin Koch
28044979,Jack Butland
58098760,Sardar Azmoun
55062009,Ricardo Pereira
91132680,Benjamin Henrichs
45101508,Masaya Tashiro
92023691,Diego Demme
2000108691,Lewis Hall
86066853,Piero Hincapié
2000015300,Jamie Bynoe-Gittens
72021508,Tim Ream
14023020,José Luis Palomino
18054092,Adnan Januzaj
72038786,Walker Zimmerman
27122565,Jonas Wind
62246208,Benjamin Šeško
18083974,Bryan Heynen
37020713,Wesley Hoedt
71023108,Yevhen Makarenko
67144651,Jonny
37045879,Sofyan Amrabat
52014865,Stuart Dallas
18091791,Wilfred Ndidi
29125265,Antonee Robinson
72051563,Chris Richards
28004396,Gylfi Sigurðsson
45030953,Wataru Endo
14048328,Juan Musso
29175220,Morgan Gibbs-White
29141828,Ademola Lookman
75042244,Taty Castellanos
78088646,Facundo Torres
67262227,Iván Jaime
